,REF_AREA,Measure,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,REF_CODE
473,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1979,-1.28,LTU
474,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1980,-1.76,LTU
475,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1981,-0.52,LTU
476,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1982,-0.14,LTU
477,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1983,0.66,LTU
478,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1984,-0.25,LTU
479,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1985,-2.04,LTU
480,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1986,-0.92,LTU
481,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1987,-2.32,LTU
482,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1988,-0.22,LTU
483,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1989,1.25,LTU
484,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1990,1.09,LTU
485,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1991,0.18,LTU
486,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1992,0.56,LTU
487,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1993,-0.61,LTU
488,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1994,-0.07,LTU
489,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1995,0.12,LTU
490,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1996,-1.45,LTU
491,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1997,-0.09,LTU
492,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1998,-0.21,LTU
493,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,1999,0.81,LTU
494,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2000,1.2,LTU
495,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2001,0.2,LTU
496,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2002,0.83,LTU
497,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2003,-0.01,LTU
498,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2004,-0.12,LTU
499,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2005,-0.05,LTU
500,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2006,0.47,LTU
501,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2007,0.85,LTU
502,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2008,1.29,LTU
503,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2009,0.15,LTU
504,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2010,-0.64,LTU
505,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2011,0.71,LTU
506,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2012,-0.15,LTU
507,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2013,0.54,LTU
508,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2014,1.0,LTU
509,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2015,1.39,LTU
510,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2016,0.71,LTU
511,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2017,0.6,LTU
512,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2018,1.19,LTU
513,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2019,1.9,LTU
514,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2020,2.24,LTU
515,Lithuania,TEMP_C: Annual temperature change,C: Degrees celsius,2021,0.36,LTU
1161,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1979,0.29,TUR
1162,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1980,-0.41,TUR
1163,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1981,0.2,TUR
1164,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1982,-1.1,TUR
1165,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1983,-0.95,TUR
1166,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1984,-0.43,TUR
1167,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1985,-0.47,TUR
1168,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1986,-0.04,TUR
1169,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1987,-0.64,TUR
1170,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1988,-0.6,TUR
1171,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1989,-0.08,TUR
1172,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1990,-0.26,TUR
1173,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1991,-0.46,TUR
1174,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1992,-1.88,TUR
1175,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1993,-0.9,TUR
1176,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1994,0.57,TUR
1177,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1995,-0.2,TUR
1178,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1996,0.23,TUR
1179,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1997,-0.78,TUR
1180,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1998,0.79,TUR
1181,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,1999,1.01,TUR
1182,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2000,0.01,TUR
1183,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2001,1.26,TUR
1184,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2002,0.16,TUR
1185,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2003,0.13,TUR
1186,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2004,0.08,TUR
1187,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2005,0.26,TUR
1188,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2006,0.33,TUR
1189,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2007,0.58,TUR
1190,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2008,0.47,TUR
1191,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2009,0.53,TUR
1192,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2010,2.17,TUR
1193,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2011,-0.41,TUR
1194,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2012,0.61,TUR
1195,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2013,0.56,TUR
1196,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2014,1.46,TUR
1197,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2015,0.91,TUR
1198,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2016,1.09,TUR
1199,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2017,0.81,TUR
1200,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2018,2.17,TUR
1201,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2019,1.46,TUR
1202,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2020,1.64,TUR
1203,Türkiye,TEMP_C: Annual temperature change,C: Degrees celsius,2021,1.46,TUR
2279,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1979,-0.81,SVN
2280,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1980,-1.58,SVN
2281,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1981,-0.7,SVN
2282,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1982,-0.26,SVN
2283,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1983,-0.11,SVN
2284,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1984,-1.09,SVN
2285,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1985,-1.24,SVN
2286,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1986,-1.0,SVN
2287,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1987,-0.94,SVN
2288,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1988,-0.1,SVN
2289,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1989,0.09,SVN
2290,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1990,0.18,SVN
2291,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1991,-0.88,SVN
2292,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1992,0.46,SVN
2293,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1993,-0.08,SVN
2294,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1994,1.22,SVN
2295,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1995,0.05,SVN
2296,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1996,-1.11,SVN
2297,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1997,-0.02,SVN
2298,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1998,0.19,SVN
2299,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,1999,0.02,SVN
2300,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2000,1.06,SVN
2301,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2001,0.45,SVN
2302,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2002,0.98,SVN
2303,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2003,0.52,SVN
2304,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2004,-0.17,SVN
2305,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2005,-0.52,SVN
2306,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2006,0.33,SVN
2307,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2007,1.12,SVN
2308,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2008,0.86,SVN
2309,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2009,0.83,SVN
2310,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2010,-0.14,SVN
2311,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2011,0.89,SVN
2312,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2012,0.92,SVN
2313,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2013,0.67,SVN
2314,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2014,1.7,SVN
2315,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2015,1.31,SVN
2316,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2016,0.96,SVN
2317,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2017,0.97,SVN
2318,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2018,1.53,SVN
2319,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2019,1.67,SVN
2320,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2020,1.21,SVN
2321,Slovenia,TEMP_C: Annual temperature change,C: Degrees celsius,2021,0.6,SVN
2537,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1979,-0.73,ITA
2538,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1980,-1.29,ITA
2539,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1981,-0.77,ITA
2540,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1982,-0.12,ITA
2541,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1983,-0.41,ITA
2542,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1984,-1.12,ITA
2543,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1985,-0.54,ITA
2544,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1986,-0.51,ITA
2545,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1987,-0.39,ITA
2546,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1988,-0.04,ITA
2547,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1989,-0.35,ITA
2548,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1990,0.01,ITA
2549,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1991,-0.83,ITA
2550,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1992,-0.1,ITA
2551,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1993,-0.17,ITA
2552,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1994,0.76,ITA
2553,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1995,-0.27,ITA
2554,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1996,-0.46,ITA
2555,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1997,0.38,ITA
2556,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1998,0.26,ITA
2557,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,1999,0.29,ITA
2558,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2000,0.68,ITA
2559,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2001,0.46,ITA
2560,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2002,0.5,ITA
2561,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2003,0.72,ITA
2562,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2004,0.17,ITA
2563,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2005,-0.38,ITA
2564,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2006,0.36,ITA
2565,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2007,0.74,ITA
2566,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2008,0.59,ITA
2567,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2009,0.61,ITA
2568,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2010,-0.09,ITA
2569,Italy,TEMP_C: Annual temperature change,C: Degrees celsius,2011,0.75,ITA
